,Gene,Paper_ID,Classification,EC_numbers,Reaction_Group,Title,Organism
55,ACC1,4633,Positive,['6.4.1.2'],ACCOAC_1,Combinatorial metabolic engineering of Saccharomyces cerevisiae for terminal alkene production.,['Saccharomyces cerevisiae']
56,ACC1,4633,Other,['6.4.1.2'],ACCOAC_1,Combinatorial metabolic engineering of Saccharomyces cerevisiae for terminal alkene production.,['Saccharomyces cerevisiae']
57,ACC1,4736,Positive,['6.4.1.2'],ACCOAC_1,De novo production of resveratrol from glucose or ethanol by engineered Saccharomyces cerevisiae.,['Saccharomyces cerevisiae']
58,ACC1,4929,Positive,['6.4.1.2'],ACCOAC_1,Physiological and transcriptional characterization of Saccharomyces cerevisiae engineered for production of fatty acid ethyl esters.,['Saccharomyces cerevisiae']
59,ACC1,5219,Negative,['6.4.1.2'],ACCOAC_1,Heterologous production of raspberry ketone in the wine yeast Saccharomyces cerevisiae via pathway engineering and synthetic enzyme fusion.,['Saccharomyces cerevisiae']
60,ACC1,5259,Positive,['6.4.1.2'],ACCOAC_1,Engineering and systems-level analysis of Saccharomyces cerevisiae for production of 3-hydroxypropionic acid via malonyl-CoA reductase-dependent pathway.,['Saccharomyces cerevisiae']
61,ACC1,5259,Other,['6.4.1.2'],ACCOAC_1,Engineering and systems-level analysis of Saccharomyces cerevisiae for production of 3-hydroxypropionic acid via malonyl-CoA reductase-dependent pathway.,['Saccharomyces cerevisiae']
62,ACC1,5370,Positive,['6.4.1.2'],ACCOAC_1,EasyClone-MarkerFree: A vector toolkit for marker-less integration of genes into Saccharomyces cerevisiae via CRISPR-Cas9.,['Saccharomyces cerevisiae']
63,ACC1,5409,Positive,['6.4.1.2'],ACCOAC_1,Pathway Compartmentalization in Peroxisome of Saccharomyces cerevisiae to Produce Versatile Medium Chain Fatty Alcohols.,['Saccharomyces cerevisiae']
64,ACC1,5409,Other,['6.4.1.2'],ACCOAC_1,Pathway Compartmentalization in Peroxisome of Saccharomyces cerevisiae to Produce Versatile Medium Chain Fatty Alcohols.,['Saccharomyces cerevisiae']
65,ACC1,5986,Other,['6.4.1.2'],ACCOAC_1,Utilization of xylose by engineered strains of <i>Ashbya gossypii</i> for the production of microbial oils.,"['Yarrowia lipolytica', 'Neurospora crassa', 'Bacillus subtilis', 'Zygosaccharomyces rouxii', 'Candida tropicalis', 'Aspergillus nidulans']"
66,ACC1,6689,Positive,['6.4.1.2'],ACCOAC_1,Biosynthesis and engineering of kaempferol in Saccharomyces cerevisiae.,['Saccharomyces cerevisiae']
67,ACC1,6689,Other,['6.4.1.2'],ACCOAC_1,Biosynthesis and engineering of kaempferol in Saccharomyces cerevisiae.,['Saccharomyces cerevisiae']
68,ACC1,6770,Positive,['6.4.1.2'],ACCOAC_1,Mutants of Yarrowia lipolytica NCIM 3589 grown on waste cooking oil as a biofactory for biodiesel production.,['Yarrowia lipolytica']
69,ACC1,6777,Positive,['6.4.1.2'],ACCOAC_1,Optimization of C16 and C18 fatty alcohol production by an engineered strain of Lipomyces starkeyi.,['Lipomyces starkeyi']
70,ACC1,7014,Other,['6.4.1.2'],ACCOAC_1,Modulation of saturation and chain length of fatty acids in Saccharomyces cerevisiae for production of cocoa butter-like lipids.,['Saccharomyces cerevisiae']
71,ACC1,7014,Positive,['6.4.1.2'],ACCOAC_1,Modulation of saturation and chain length of fatty acids in Saccharomyces cerevisiae for production of cocoa butter-like lipids.,['Saccharomyces cerevisiae']
72,ACC1,7355,Negative,['6.4.1.2'],ACCOAC_1,Engineering global transcription to tune lipophilic properties in <i>Yarrowia lipolytica</i>.,['Yarrowia lipolytica']
73,ACC1,7423,Positive,['6.4.1.2'],ACCOAC_1,Developing cellulolytic <i>Yarrowia lipolytica</i> as a platform for the production of valuable products in consolidated bioprocessing of cellulose.,['Yarrowia lipolytica']
74,ACC1,7423,Negative,['6.4.1.2'],ACCOAC_1,Developing cellulolytic <i>Yarrowia lipolytica</i> as a platform for the production of valuable products in consolidated bioprocessing of cellulose.,['Yarrowia lipolytica']
75,ACC1,7439,Positive,['6.4.1.2'],ACCOAC_1,Metabolic engineering of lipid pathways in Saccharomyces cerevisiae and staged bioprocess for enhanced lipid production and cellular physiology.,['Saccharomyces cerevisiae']
76,ACC1,7664,Positive,['6.4.1.2'],ACCOAC_1,Reprogramming Yeast Metabolism from Alcoholic Fermentation to Lipogenesis.,['Saccharomyces cerevisiae']
77,ACC1,7717,Positive,['6.4.1.2'],ACCOAC_1,Impact of forced fatty acid synthesis on metabolism and physiology of Saccharomyces cerevisiae.,['Saccharomyces cerevisiae']
78,ACC1,8842,Positive,['6.4.1.2'],ACCOAC_1,Microbial lipids from industrial wastes using xylose-utilizing Ashbya gossypii strains.,"['Yarrowia lipolytica', 'Saccharomyces cerevisiae', 'Clostridium diolis', 'Aspergillus nidulans', 'Trichoderma harzianum']"
79,ACC1,8842,Other,['6.4.1.2'],ACCOAC_1,Microbial lipids from industrial wastes using xylose-utilizing Ashbya gossypii strains.,"['Yarrowia lipolytica', 'Saccharomyces cerevisiae', 'Clostridium diolis', 'Aspergillus nidulans', 'Trichoderma harzianum']"
80,ACC1,8994,Positive,['6.4.1.2'],ACCOAC_1,Rewiring carbon metabolism in yeast for high level production of aromatic chemicals.,['Saccharomyces cerevisiae']
81,ACC1,9393,Negative,['6.4.1.2'],ACCOAC_1,"Overexpression of △12, △15-Desaturases for Enhanced Lipids Synthesis in <i>Yarrowia lipolytica</i>.",['Yarrowia lipolytica']
82,ACC1,9393,Positive,['6.4.1.2'],ACCOAC_1,"Overexpression of △12, △15-Desaturases for Enhanced Lipids Synthesis in <i>Yarrowia lipolytica</i>.",['Yarrowia lipolytica']
83,ACC1,9938,Positive,['6.4.1.2'],ACCOAC_1,Enhancement of Lipid Production under Heterotrophic Conditions by Overexpression of an Endogenous bZIP Transcription Factor in <i>Chlorella</i> sp. HS2.,['Saccharomyces cerevisiae']
84,ACC1,9955,Positive,['6.4.1.2'],ACCOAC_1,Engineering the oleaginous yeast Yarrowia lipolytica for high-level resveratrol production.,['Yarrowia lipolytica']
85,ACC1,10951,Positive,['6.4.1.2'],ACCOAC_1,Combined Biosynthetic Pathway Engineering and Storage Pool Expansion for High-Level Production of Ergosterol in Industrial <i>Saccharomyces cerevisiae</i>.,['Saccharomyces cerevisiae']
86,ACC1,10993,Positive,['6.4.1.2'],ACCOAC_1,Engineering of Saccharomyces cerevisiae for the accumulation of high amounts of triacylglycerol.,['Saccharomyces cerevisiae']
87,ACC1,11309,Positive,['6.4.1.2'],ACCOAC_1,Increased Lipid Production in <i>Yarrowia lipolytica</i> from Acetate through Metabolic Engineering and Cosubstrate Fermentation.,['Yarrowia lipolytica']
88,ACC1,11498,Other,['6.4.1.2'],ACCOAC_1,Dual regulation of lipid droplet-triacylglycerol metabolism and ERG9 expression for improved β-carotene production in Saccharomyces cerevisiae.,['Saccharomyces cerevisiae']
89,ACC1,11498,Positive,['6.4.1.2'],ACCOAC_1,Dual regulation of lipid droplet-triacylglycerol metabolism and ERG9 expression for improved β-carotene production in Saccharomyces cerevisiae.,['Saccharomyces cerevisiae']
90,ACC1,11977,Positive,['6.4.1.2'],ACCOAC_1,Metabolic engineering of the malonyl-CoA pathway to efficiently produce malonate in Saccharomyces cerevisiae.,['Saccharomyces cerevisiae']
91,ACC1,12181,Positive,['6.4.1.2'],ACCOAC_1,Modular Engineering of <i>Saccharomyces cerevisiae</i> for De Novo Biosynthesis of Genistein.,['Saccharomyces cerevisiae']
92,ACC1,12219,Positive,['6.4.1.2'],ACCOAC_1,Combining Metabolic Engineering and Multiplexed Screening Methods for 3-Hydroxypropionic Acid Production in <i>Komagataella pastoris</i>.,['Komagataella pastoris']
93,ACC1,12946,Positive,['6.4.1.2'],ACCOAC_1,Efficient biosynthesis of resveratrol via combining phenylalanine and tyrosine pathways in Saccharomyces cerevisiae.,['Saccharomyces cerevisiae']
94,ACC1,12946,Other,['6.4.1.2'],ACCOAC_1,Efficient biosynthesis of resveratrol via combining phenylalanine and tyrosine pathways in Saccharomyces cerevisiae.,['Saccharomyces cerevisiae']
95,ACC1,13203,Positive,['6.4.1.2'],ACCOAC_1,Engineering 3-Hydroxypropionic Acid Production from Glucose in <i>Yarrowia lipolytica</i> through Malonyl-CoA Pathway.,['Yarrowia lipolytica']
96,ACC1,13307,Positive,['6.4.1.2'],ACCOAC_1,High throughput <sup>13</sup>C-metabolic flux analysis of 3-hydroxypropionic acid producing Komagataella pastoris reveals limited availability of acetyl-CoA and ATP due to tight control of the glycolytic flux.,['Komagataella pastoris']
97,ACC1,13881,Positive,['6.4.1.2'],ACCOAC_1,Tuning Fatty Acid Profile and Yield in <i>Komagataella pastoris</i>.,['Komagataella pastoris']
98,ACC1,13881,Negative,['6.4.1.2'],ACCOAC_1,Tuning Fatty Acid Profile and Yield in <i>Komagataella pastoris</i>.,['Komagataella pastoris']
99,ACC1,14324,Positive,['6.4.1.2'],ACCOAC_1,De novo synthesis of nervonic acid and optimization of metabolic regulation by Yarrowia lipolytica.,['Yarrowia lipolytica']
100,ACC1,14458,Positive,['6.4.1.2'],ACCOAC_1,<i>De Novo</i> Biosynthesis of Curcumin in <i>Saccharomyces cerevisiae</i>.,['Saccharomyces cerevisiae']
