PMID;Title;Year;Organism;Product;Genes_and_modifications
11131394;Targeted, PCR-based gene disruption in cyanobacteria: inactivation of the polyhydroxyalkanoic acid synthase genes in Synechocystis sp. PCC6803.;2000;Synechocystis sp PCC6803;Genecassette;
11133422;Gene integration and expression and extracellular secretion of Erwinia chrysanthemi endoglucanase CelY (celY) and CelZ (celZ) in ethanologenic Klebsiella oxytoca P2.;2001;Klebsiella oxytoca;Cellulaseenzyme;
11134522;Metabolic engineering of plant alkaloid biosynthesis.;2001;;Alkaloid;
11137817;Cloning, sequencing and analysis of the enterocin biosynthesis gene cluster from the marine isolate 'Streptomyces maritimus': evidence for the derailment of an aromatic polyketide synthase.;2000;Streptomyces maritimus;Enterocin;{'PacI': 'Positive', 'PKS': 'Negative'}
11150509;Intracellular trehalose improves osmotolerance but not desiccation tolerance in mammalian cells.;2000;Saccharomyces cerevisiae,Escherichia coli;Trehaloseresistance;{'tre1': 'Positive', 'otsB': 'Positive', 'otsA': 'Positive'}
11165359;Metabolic engineering of bacteria for environmental applications: construction of Pseudomonas strains for biodegradation of 2-chlorotoluene.;2001;Pseudomonas aeruginosa,Pseudomonas putida;;
11170480;Precursor balancing for metabolic engineering of lycopene production in Escherichia coli.;2001;Escherichia coli;Carotenoids;
11171161;Production of C20 polyunsaturated fatty acids (PUFAs) by pathway engineering: identification of a PUFA elongase component from Caenorhabditis elegans.;2000;Caenorhabditis elegans;;
11171262;Utility of the Arabidopsis FAE1 and yeast SLC1-1 genes for improvements in erucic acid and oil content in rapeseed.;2000;;Nylon1313;
11171263;High-oleic acid Australian Brassica napus and B. juncea varieties produced by co-suppression of endogenous Delta12-desaturases.;2000;;Australian;
11180061;Metabolic engineering of the nonmevalonate isopentenyl diphosphate synthesis pathway in Escherichia coli enhances lycopene production.;2001;Escherichia coli;Carotenoids;{'dxs': 'Positive', 'dxr': 'Positive'}
11198815;Combinatorial biochemistry in plants: the case of O-methyltransferases.;2001;;Polyketide;
11214801;Enhancing desulphurization by engineering a flavin reductase-encoding gene cassette in recombinant biocatalysts.;2000;Escherichia coli,Rhodococcus erythropolis;;{'hpaC': 'Other,Positive'}
11230695;Biosynthesis of complex polyketides in a metabolically engineered strain of E. coli.;2001;Escherichia coli;Polyketide;
11244075;Engineered fatty acid biosynthesis in Streptomyces by altered catalytic function of beta-ketoacyl-acyl carrier protein synthase III.;2001;Escherichia coli,Streptomyces glaucescens;Ketoacylacylcarrierproteinsynthase;{'fabH': 'Other,Negative,Positive', 'FAS': 'Other'}
11251290;Design and utility of oligonucleotide gene probes for fungal polyketide synthases.;2001;Aspergillus terreus,Aspergillus nidulans,Phoma sp 61,Phoma sp C,Streptomyces coelicolor,Streptomyces griseus,Phoma sp 6,Phoma sp 3,Phoma sp type,Phoma sp 7,Aspergillus oryzae,Phoma sp 4,Phoma sp,Phoma sp E,Phoma sp 11,Phoma sp 16,Phoma sp GAP,Streptomyces violaceoruber,Sorangium cellulosum,Phoma sp 67,Phoma sp 98,Phoma sp P,Phoma sp 2,Saccharomyces cerevisiae,Phoma sp 50,Phoma sp C2932,Bacillus subtilis,Phoma sp 1,Penicillium griseofulvum,Phoma sp 400,Phoma sp 55,Phoma sp 5,Phoma sp 13,Aspergillus parasiticus,Phoma sp 94,Phoma sp Bam,Phoma sp SQS,Phoma sp 10,Phoma sp 14E;Polyketide;{'PKS': 'Positive'}
11274098;GcpE is involved in the 2-C-methyl-D-erythritol 4-phosphate pathway of isoprenoid biosynthesis in Escherichia coli.;2001;Escherichia coli;Lipids;{'gcpE': 'Negative'}
11294879;Engineering delta 9-16:0-acyl carrier protein (ACP) desaturase specificity based on combinatorial saturation mutagenesis and logical redesign of the castor delta 9-18:0-ACP desaturase.;2001;Escherichia coli;;{'ble': 'Positive'}
11312715;Effects of culture conditions on enhancement of 2,4-dinitrotoluene degradation by Burkholderia engineered with the Vitreoscilla hemoglobin gene.;2001;Burkholderia sp;Hemoglobin;
11319114;Applications of gene replacement technology to Streptomyces clavuligerus strain development for clavulanic acid production.;2001;Streptomyces clavuligerus;Clavulanate;{'cvm1': 'Positive', 'lat': 'Other,Negative,Positive'}
11325924;Engineering a homo-ethanol pathway in Escherichia coli: increased glycolytic flux and levels of expression of glycolytic genes during xylose fermentation.;2001;Escherichia coli;Succinate;{'talC': 'Positive', 'rpiB': 'Positive', 'talB': 'Positive', 'pdc': 'Positive', 'xyl': 'Positive', 'yibO': 'Positive', 'tktA': 'Positive', 'xylR': 'Other,Positive', 'xylAB': 'Positive', 'rpiA': 'Positive', 'adhB': 'Positive', 'gpmB': 'Positive'}
11330198;[Cloning and expression of the genes of glutathione synthetases].;2001;Escherichia coli;;
11330714;Gene synthesis, expression in E. coli, and in vitro refolding of Pseudomonas sp. KWI 56 and Chromobacterium viscosum lipases and their chaperones.;2001;Pseudomonas sp KWI,Chromobacterium viscosum;Additive;
11353413;Biosynthesis of poly(3-hydroxybutyrate-co-3-hydroxyvalerate-co-3-hydroxyhexanoate) by metabolically engineered Escherichia coli strains.;2001;Escherichia coli;;
11358691;Directed evolution of new glycosynthases from Agrobacterium beta-glucosidase: a general screen to detect enzymes for oligosaccharide synthesis.;2001;Agrobacterium sp L,Escherichia coli;Oligosaccharide;
11358694;Engineering a polyketide with a longer chain by insertion of an extra module into the erythromycin-producing polyketide synthase.;2001;Saccharopolyspora erythraea,Escherichia coli,Streptomyces hygroscopicus,Streptomyces venezuelae;;{'eryA': 'Negative', 'PKS': 'Other,Positive'}
11375660;Disruption of a global regulatory gene to enhance central carbon flux into phenylalanine biosynthesis in Escherichia coli.;2001;Escherichia coli;Amino acids;{'csrA': 'Negative', 'tktA': 'Positive'}
11386362;Engineering biodiversity with type II polyketide synthase genes.;2000;Streptomyces maritimus,Streptomyces coelicolor;;{'whiE': 'Other', 'PKS': 'Positive'}
11386857;Utilization of an alternative carbon source for efficient production of human alpha(1)-antitrypsin by genetically engineered rice cell culture.;2001;;1antitrypsin;
11386871;Human chymotrypsinogen B production with Pichia pastoris by integrated development of fermentation and downstream processing. Part 1. Fermentation.;2001;Komagataella pastoris;Chymotrypsinogen;
11387982;Biosynthesis of beta-carotene (provitamin A) in rice endosperm achieved by genetic engineering.;2001;;Carotenoids;
11390679;Pyruvate oxidase contributes to the aerobic growth efficiency of Escherichia coli.;2001;Escherichia coli;Carbonatom;{'poxB': 'Other,Positive'}
11414331;Efficiency of naphthalene and salicylate degradation by a recombinant Pseudomonas putida mutant strain defective in glucose metabolism.;2001;Pseudomonas putida;;
11418107;LytB, a novel gene of the 2-C-methyl-D-erythritol 4-phosphate pathway of isoprenoid biosynthesis in Escherichia coli.;2001;Escherichia coli;Lipids;{'lytB': 'Negative'}
11418562;Accumulation of the PhaP phasin of Ralstonia eutropha is dependent on production of polyhydroxybutyrate in cells.;2001;Cupriavidus necator;PHB/PHA;{'phaC': 'Other,Positive', 'phaP': 'Other,Positive'}
11427737;Metabolic engineering of essential oil yield and composition in mint by altering expression of deoxyxylulose phosphate reductoisomerase and menthofuran synthase.;2001;Escherichia coli,Agrobacterium tumefaciens;Chlorophyll;{'DXP': 'Positive', 'DXR': 'Positive', 'dxr': 'Other,Negative,Positive'}
11447132;Redirection of sialic acid metabolism in genetically engineered Escherichia coli.;2001;Escherichia coli;Microorganismssialate,Acetylneuraminate;{'nanA': 'Other,Positive', 'neuS': 'Other,Positive', 'neuB': 'Other,Positive', 'neuA': 'Positive', 'nanK': 'Positive', 'CMP': 'Negative'}
11448966;Engineered biosynthesis of the peptide antibiotic bacitracin in the surrogate host Bacillus subtilis.;2001;Bacillus subtilis;Antibiotics;{'srfA': 'Negative'}
11451665;Engineered biosynthesis of novel polyenes: a pimaricin derivative produced by targeted gene disruption in Streptomyces natalensis.;2001;Streptomyces natalensis;Polyene;{'pimD': 'Other,Negative', 'attP': 'Negative'}
11451672;Cloning and characterization of a phosphopantetheinyl transferase from Streptomyces verticillus ATCC15003, the producer of the hybrid peptide-polyketide antitumor drug bleomycin.;2001;Streptomyces verticillus;Peptide,Polyketide;{'PKS': 'Other', 'lys5': 'Other', 'acpS': 'Other', 'NRPS': 'Other'}
11453463;Innovative fermentation strategies for the production of extremophilic enzymes.;2001;Escherichia coli;Extremophilicenzyme;
11474068;Resistance to an herbivore through engineered cyanogenic glucoside synthesis.;2001;;Herbivorecyanogenicglucoside;
11478942;Identification of an expanded set of translationally active methionine analogues in Escherichia coli.;2001;Escherichia coli;Proteins;{'ana': 'Negative'}
11481443;Enhanced synthesis of choline and glycine betaine in transgenic tobacco plants that overexpress phosphoethanolamine N-methyltransferase.;2001;Agrobacterium tumefaciens;Cholineglycinebetaine;{'cho': 'Other,Positive'}
11485419;Enhancing the atom economy of polyketide biosynthetic processes through metabolic engineering.;2001;Streptomyces coelicolor;Polyketide;
11488613;Quantification of intracellular metabolites in Escherichia coli K12 using liquid chromatographic-electrospray ionization tandem mass spectrometric techniques.;2001;Escherichia coli;;
11494221;Metabolic-flux analysis of continuously cultured hybridoma cells using (13)CO(2) mass spectrometry in combination with (13)C-lactate nuclear magnetic resonance spectroscopy and metabolite balancing.;2001;;Mammaliancell;
11499918;Use of catabolite repression mutants for fermentation of sugar mixtures to ethanol.;2001;Escherichia coli;Ethanol;
11505380;Metabolic engineering of poly(3-hydroxybutyrate-co-3-hydroxyvalerate) composition in recombinant Salmonella enterica serovar typhimurium.;2001;Salmonella enterica;Polyhydroxyalkanoateoperon;
11505382;Utilizing genetically engineered bacteria to produce plant-specific glucosides.;2001;Escherichia coli;Glucoside;
11513877;Use of HDEL-tagged Trichoderma reesei mannosyl oligosaccharide 1,2-alpha-D-mannosidase for N-glycan engineering in Pichia pastoris.;2001;Trichoderma reesei,Komagataella pastoris;Glycoprotein;{'AOXI': 'Positive', 'GAP': 'Positive', 'res': 'Negative'}
11514230;Analysis of the prodiginine biosynthesis gene cluster of Streptomyces coelicolor A3(2): new mechanisms for chain initiation and termination in modular multienzymes.;2001;Streptomyces coelicolor;Prodiginine;{'redY': 'Negative', 'redW': 'Negative', 'redC': 'Other', 'redE': 'Other', 'redX': 'Negative', 'redN': 'Negative'}
11515561;Introduction of bacterial metabolism into higher plants by polycistronic transgene expression.;2001;;Polyestermacromolecule,PHB/PHA;
11525519;Characterization of transgenic Arabidopsis thaliana with metabolically engineered high levels of p-hydroxybenzylglucosinolate.;2001;;Hydroxyphenylacetaldoxime;
11526030;Xylulokinase overexpression in two strains of Saccharomyces cerevisiae also expressing xylose reductase and xylitol dehydrogenase and its effect on fermentation of xylose and lignocellulosic hydrolysate.;2001;Saccharomyces cerevisiae;Ethanol;{'XYL1': 'Positive', 'XYL2': 'Positive', 'XKS1': 'Positive'}
11535054;Mapping the functional topology of the animal fatty acid synthase by mutant complementation in vitro.;2001;;Fatty acids;
11553806;Biosynthesis of a fluorescent cyanobacterial C-phycocyanin holo-alpha subunit in a heterologous host.;2001;Synechocystis sp PCC6803,Escherichia coli;Cphycocyaninholoalphasubunit;{'cpcF': 'Other,Positive', 'cpcA': 'Positive', 'cpcE': 'Other,Positive'}
11553807;Genetic engineering of phytochrome biosynthesis in bacteria.;2001;Synechocystis sp PCC6803,Escherichia coli,Synechocystis sp,Synechocystis sp 0;Lagaria;
11565903;An E. coli expression system for the extracellular secretion of barley alpha-amylase.;2001;Escherichia coli;Halo;
11573344;Degradation of explosives by nitrate ester reductases.;2001;Enterobacter cloacae;;
11587566;Minimal reaction sets for Escherichia coli metabolism under different growth requirements and uptake environments.;2001;Escherichia coli;;
11601611;Production of polyhydroxyalkanoates from intact triacylglycerols by genetically engineered Pseudomonas.;2001;Pseudomonas putida;PHB/PHA;{'fat': 'Positive'}
11676567;Controlling the metabolic flux through the carotenoid pathway using directed mRNA processing and stabilization.;2001;Escherichia coli;Carotenoids;
11676569;Metabolic consequences of altered phosphoenolpyruvate carboxykinase activity in Corynebacterium glutamicum reveal anaplerotic regulation mechanisms in vivo.;2001;Corynebacterium glutamicum;;{'pck': 'Negative,Positive'}
11676571;Biosynthetic pathway of cephabacins in Lysobacter lactamgenus: molecular and biochemical characterization of the upstream region of the gene clusters for engineering of novel antibiotics.;2001;Lysobacter lactamgenus;Cephabacin;
11687940;Recombinant Escherichia coli engineered for production of L-lactic acid from hexose and pentose sugars.;2001;Escherichia coli;Lactate;{'ldhA': 'Other', 'pfl': 'Other,Positive', 'LDH': 'Other', 'ppc': 'Positive', 'ldh': 'Positive'}
11693913;Fermentation of starch for enhanced alkaline protease production by constructing an alkalophilic Bacillus pumilus strain.;2001;Bacillus pumilus;Enzymes;{'amy': 'Positive'}
11693915;Effect of overexpression of Saccharomyces cerevisiae Pad1p on the resistance to phenylacrylic acids and lignocellulose hydrolysates under aerobic and oxygen-limited conditions.;2001;Saccharomyces cerevisiae;Ethanol;
11702708;[Studies on synthesis of glutathione by E. coli BL21 (pTrc-gsh) coupled with Saccharomyces cerevisiae].;2001;Saccharomyces cerevisiae;Glutathionate1;
11722541;Genetically engineered Pseudomonas: a factory of new bioplastics with broad applications.;2001;Pseudomonas putida;Macromolecule;{'fadB': 'Other,Negative', 'fadA': 'Negative'}
11722930;Engineering cytochrome P450 BM-3 for oxidation of polycyclic aromatic hydrocarbons.;2001;Priestia megaterium;Bm3;{'aro': 'Positive', 'fur': 'Positive'}
11739899;Engineering the CYP101 system for in vivo oxidation of unnatural substrates.;2001;Escherichia coli,Pseudomonas putida;Fine;{'CYP': 'Other'}
11745125;Acetate-inducible protein overexpression from the glnAp2 promoter of Escherichia coli.;2001;Escherichia coli;Proteins;{'pta': 'Negative,Positive'}
11747421;Alteration of the substrate specificity of a modular polyketide synthase acyltransferase domain through site-specific mutations.;2001;Escherichia coli;Polyketide;{'AT': 'Other'}
11749180;Production of poly(3-hydroxybutyrate-co-3-hydroxyhexanoate) by metabolically engineered Escherichia coli strains.;2001;Escherichia coli;;{'orf1': 'Positive'}
11752431;Studies on the nonmevalonate pathway to terpenes: the role of the GcpE (IspG) protein.;2001;Escherichia coli;Hydroxy2methyl2ebutenyl4diphosphate;{'xylB': 'Other,Positive', 'gcpE': 'Positive', 'ispE': 'Positive', 'ispD': 'Positive', 'ispF': 'Positive', 'ispC': 'Positive'}
11755990;Expression of recombinant cytoplasmic yeast pyruvate carboxylase for the improvement of the production of human erythropoietin by recombinant BHK-21 cells.;2002;;Erythropoietin;
11772608;Improvement of cellulolytic properties of Clostridium cellulolyticum by metabolic engineering.;2002;Ruminiclostridium cellulolyticum;Lactate;{'CP4': 'Positive', 'ADH': 'Positive', 'pdc': 'Positive', 'cel': 'Positive', 'adh': 'Positive', 'cipC': 'Positive', 'PDC': 'Positive'}
11786554;A new substrate specificity for acyl transferase domains of the ascomycin polyketide synthase in Streptomyces hygroscopicus.;2002;Streptomyces hygroscopicus;Antibiotics;{'PKS1': 'Other', 'AT': 'Positive', 'actI': 'Positive', 'PKS': 'Other,Positive', 'fkbG': 'Negative'}
11792456;Recombinant microorganisms as environmental biosensors: pollutants detection by Escherichia coli bearing fabA'::lux fusions.;2002;Escherichia coli;Fatty acids;
11818558;Studies on the nonmevalonate terpene biosynthetic pathway: metabolic role of IspH (LytB) protein.;2002;Escherichia coli;Terpene;{'lytB': 'Other,Positive', 'xylB': 'Other', 'ispH': 'Other,Positive'}
11821927;Physiological characterization and genetic engineering of Pseudomonas corrugata for medium-chain-length polyhydroxyalkanoates synthesis from triacylglycerols.;2002;Pseudomonas corrugata;PHB/PHA;
11823219;Enhanced exopolysaccharide production by metabolic engineering of Streptococcus thermophilus.;2002;Streptococcus thermophilus;Cleotide;{'PGM': 'Negative,Positive', 'galU': 'Positive', 'pgmA': 'Negative,Positive'}
11825887;Elucidation of the metabolic fate of glucose in the filamentous fungus Trichoderma reesei using expressed sequence tag (EST) analysis and cDNA microarrays.;2002;Trichoderma reesei;Atp4;{'ND5': 'Positive', 'cycA': 'Negative,Positive', 'COX': 'Positive', 'ND2': 'Positive'}
11841940;Expression analysis of the tylosin-biosynthetic gene cluster: pivotal regulatory role of the tylQ product.;2002;Streptomyces virginiae,Micrococcus luteus,Escherichia coli,Streptomyces fradiae,Streptomyces spp;Antibiotics;{'tylQ': 'Negative,Positive', 'tylR': 'Negative'}
11851812;A 3.1-kb genomic fragment of Bacillus subtilis encodes the protein inhibiting growth of Xanthomonas oryzae pv. oryzae.;2001;Xanthomonas oryzae,Bacillus subtilis;Demain;{'ybcS': 'Negative', 'pld2': 'Negative,Positive'}
11854482;Optimizing bioconversion pathways through systems analysis and metabolic engineering.;2002;Rhodococcus sp 3,Rhodococcus sp,Escherichia coli,Rhodococcus sp 2,Rhodococcus sp I24,Rhodococcus erythropolis;Other biofuels;{'limA': 'Negative'}
11872452;Flux through citrate synthase limits the growth of ethanologenic Escherichia coli KO11 during xylose fermentation.;2002;Escherichia coli;Ethanol;{'citZ': 'Positive'}
11872456;Engineering of a Bacillus subtilis strain with adjustable levels of intracellular biotin for secretory production of functional streptavidin.;2002;Bacillus subtilis;Streptavidin;{'groE': 'Other,Positive', 'glu': 'Positive', 'bioW': 'Other,Positive', 'SAV': 'Negative', 'SstI': 'Positive', 'spr': 'Positive'}
11910763;[Establishment of detective systems for GL-7ACA acylase expression].;2001;;Aminocephalosporanate;
